alternative_names,frequency_female,frequency_male,name
,355,125974,VICENTE
VIINICIUS|VINICIIUS|VINICIOUS|VINICUIUS|VINICYUS|VINIICIUS|VINNICIUS|VINNYCIUS|VINYCIUS|VYNICIUS,2403,302419,VINICIUS
WAGNE|WAGNNER,505,124863,WAGNER
WANDERLEI|WANDERLI|WANDERLY,49,15267,WANDERLEY
WANDERSOM|WHANDERSON,407,75619,WANDERSON
WALLERSON|WELLERSOM|WILLERSON,,1672,WELLERSON
WEVERTHON|WEVERTOM|WHEVERTON,145,25274,WEVERTON
WALLIAN|WELLIAM|WELLIAN|WHILLIAN|WIILLIAM|WIILLIAN|WILILIAN|WILLHIAM|WILLHIAN|WILLIAN|WILLIANN|WILLIIAM|WILLIIAN|WILLYAM|WILLYAN|WLLIAM|WLLIAN|WOLLIAN|WUILLIAM|WUILLIAN|WULLIAM|WULLIAN|WYLLIAM|WYLLIAN|WYLLYAM|WYLLYAN,387,61141,WILLIAM
WAILSON|WALSON|WELSOM|WELSON|WIILSON|WILSOM|WILZON|WIULSON|WLSON|WOILSON|WOLSON|WUELSON|WUILSOM|WUILSON|WULSON|WYLSON,471,188329,WILSON
,,500,WINDERSON
IVAETE|IVETE,153,,YVETE
SENAIDE|ZENAYDE,37229,271,ZENAIDE
SIRALDO,,169,ZIRALDO
